"","Player","Age","Tm","First","Pts Won","Pts Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","MVP","Year","Set"
"192","Pete Maravich","26","ATL","0.0","1.0","905","0.001","76","38.2","27.7","4.9","5.2","1.5","0.2",".457","",".826","7.6",".125",0,1974,781
"193","Rudy Tomjanovich","25","HOU","0.0","1.0","905","0.001","80","40.3","24.5","9.0","3.1","1.1","0.8",".536","",".848","12.8",".191",0,1974,382
"194","Bob McAdoo","23","BUF","81.0","547.0","965","0.567","82","43.2","34.5","14.1","2.2","1.1","2.1",".512","",".805","17.8",".242",1,1975,718
"195","Dave Cowens","26","BOS","32.0","310.0","965","0.321","65","40.5","20.4","14.7","4.6","1.3","1.1",".475","",".783","9.5",".173",0,1975,719
"196","Elvin Hayes","29","WSB","37.0","289.0","965","0.299","82","42.3","23.0","12.2","2.5","1.9","2.3",".443","",".766","12.5",".173",0,1975,152
"197","Rick Barry","30","GSW","16.0","254.0","965","0.263","80","40.4","30.6","5.7","6.2","2.9","0.4",".464","",".904","12.7",".188",0,1975,873
"198","Kareem Abdul-Jabbar","27","MIL","13.0","161.0","965","0.167","65","42.3","30.0","14.0","4.1","1.0","3.3",".513","",".763","12.9",".225",0,1975,791
"199","Tiny Archibald","26","KCO","2.0","30.0","965","0.031","82","39.6","26.5","2.7","6.8","1.5","0.1",".456","",".872","11.2",".165",0,1975,402
"200","John Havlicek","34","BOS","3.0","23.0","965","0.024","82","38.2","19.2","5.9","5.3","1.3","0.2",".455","",".870","9.7",".149",0,1975,689
"201","Phil Chenier","24","WSB","3.0","20.0","965","0.021","77","37.3","21.8","3.8","3.2","2.3","0.8",".450","",".825","8.8",".147",0,1975,896
"202","Wes Unseld","28","WSB","2.0","18.0","965","0.019","73","39.8","9.2","14.8","4.1","1.6","0.9",".502","",".685","10.6",".175",0,1975,299
"203","Sam Lacey","26","KCO","2.0","13.0","965","0.013","81","41.7","11.5","14.2","5.3","1.7","2.1",".427","",".754","7.4",".105",0,1975,311
"204","Norm Van Lier","27","CHI","0.0","9.0","965","0.009","70","37.0","15.0","4.7","5.8","2.0","0.2",".420","",".792","5.6",".104",0,1975,476
"205","Sidney Wicks","25","POR","1.0","8.0","965","0.008","82","38.6","21.7","10.7","3.5","1.3","1.0",".497","",".706","9.7",".147",0,1975,22
"206","Spencer Haywood","25","SEA","0.0","7.0","965","0.007","68","37.2","22.4","9.3","2.0","0.8","1.6",".459","",".811","7.3",".138",0,1975,410
"207","Bob Lanier","26","DET","0.0","7.0","965","0.007","76","39.3","24.0","12.0","4.6","1.0","2.3",".510","",".802","12.4",".199",0,1975,111
"208","Walt Frazier","29","NYK","0.0","6.0","965","0.006","78","41.1","21.5","6.0","6.1","2.4","0.2",".483","",".828","10.8",".161",0,1975,885
"209","Mike Bantom","23","PHO","1.0","5.0","965","0.005","82","27.3","12.5","6.7","1.9","0.8","0.6",".461","",".714","4.5",".097",0,1975,363
"210","Earl Monroe","30","NYK","0.0","5.0","965","0.005","78","36.1","20.9","4.2","3.5","1.4","0.4",".457","",".827","6.6",".113",0,1975,767
"211","Chet Walker","34","CHI","0.0","5.0","965","0.005","76","32.3","19.2","5.7","2.2","0.6","0.1",".487","",".860","10.5",".205",0,1975,444
"212","Bob Love","32","CHI","0.0","4.0","965","0.004","61","39.4","22.0","6.3","1.7","1.0","0.2",".429","",".830","5.2",".103",0,1975,86
"213","Jim Chones","25","CLE","0.0","3.0","965","0.003","72","33.7","14.5","9.4","1.8","0.7","1.7",".487","",".679","6.2",".123",0,1975,320
"214","Fred Brown","26","SEA","0.0","1.0","965","0.001","81","33.0","21.0","4.2","3.5","2.3","0.2",".480","",".831","7.9",".142",0,1975,649
"215","Rudy Tomjanovich","26","HOU","0.0","1.0","965","0.001","81","38.7","20.7","7.6","2.9","0.9","0.3",".525","",".790","10.1",".155",0,1975,267
"216","Kareem Abdul-Jabbar","28","LAL","52.0","409.0","925","0.442","82","41.2","27.7","16.9","5.0","1.5","4.1",".529","",".703","17.0",".242",1,1976,643
"217","Bob McAdoo","24","BUF","47.0","393.0","925","0.425","78","42.7","31.1","12.4","4.0","1.2","2.1",".487","",".762","12.3",".178",0,1976,897
"218","Dave Cowens","27","BOS","48.0","378.0","925","0.409","78","39.8","19.0","16.0","4.2","1.2","0.9",".468","",".756","10.7",".165",0,1976,255
"219","Rick Barry","31","GSW","20.0","201.0","925","0.217","81","38.5","21.0","6.1","6.1","2.5","0.3",".435","",".923","9.6",".148",0,1976,276
"220","George McGinnis","25","PHI","4.0","80.0","925","0.086","77","38.3","23.0","12.6","4.7","2.6","0.5",".417","",".740","8.5",".139",0,1976,39
"221","Dave Bing","32","WSB","2.0","35.0","925","0.038","82","35.9","16.2","2.9","6.0","1.4","0.3",".447","",".787","6.3",".102",0,1976,172
"222","Phil Smith","23","GSW","2.0","25.0","925","0.027","82","34.1","20.0","4.6","4.4","1.3","0.2",".477","",".788","9.4",".161",0,1976,693
"223","Elvin Hayes","30","WSB","1.0","17.0","925","0.018","80","37.2","19.8","11.0","1.5","1.3","2.5",".470","",".628","8.1",".131",0,1976,879
"224","Jim Chones","26","CLE","2.0","13.0","925","0.014","82","33.4","15.8","9.0","2.0","0.5","1.1",".448","",".662","6.0",".105",0,1976,571
"225","Tiny Archibald","27","KCK","1.0","13.0","925","0.014","78","40.8","24.8","2.7","7.9","1.6","0.2",".453","",".802","8.0",".121",0,1976,332
"226","Wes Unseld","29","WSB","0.0","12.0","925","0.013","78","37.5","9.6","13.3","5.2","1.1","0.8",".561","",".585","9.5",".156",0,1976,540
"227","Earl Monroe","31","NYK","2.0","11.0","925","0.012","76","38.0","20.7","3.6","4.0","1.5","0.3",".478","",".787","7.2",".119",0,1976,423
"228","Fred Brown","27","SEA","1.0","10.0","925","0.011","76","33.1","23.1","4.2","2.7","1.9","0.2",".488","",".869","8.8",".167",0,1976,660
"229","Paul Silas","32","BOS","1.0","9.0","925","0.010","81","32.9","10.7","12.7","2.5","0.7","0.4",".426","",".709","7.2",".129",0,1976,801
"230","Pete Maravich","28","NOJ","0.0","7.0","925","0.008","62","38.3","25.9","4.8","5.4","1.4","0.4",".459","",".811","7.1",".144",0,1976,113
"231","Clifford Ray","27","GSW","0.0","6.0","925","0.006","82","26.6","6.9","9.5","1.8","1.0","1.0",".525","",".609","7.0",".154",0,1976,552
"232","Walt Frazier","30","NYK","1.0","5.0","925","0.005","59","41.1","19.1","6.8","5.9","1.8","0.2",".485","",".823","6.8",".134",0,1976,297
"233","Jamaal Wilkes","22","GSW","1.0","5.0","925","0.005","82","33.1","17.8","8.8","2.0","1.2","0.4",".463","",".772","8.3",".147",0,1976,787
"234","Phil Chenier","25","WSB","0.0","5.0","925","0.005","80","36.9","19.9","4.0","3.2","2.0","0.6",".483","",".827","8.8",".143",0,1976,745
"235","Doug Collins","24","PHI","0.0","3.0","925","0.003","77","38.9","20.8","4.0","2.5","1.4","0.3",".513","",".836","10.0",".161",0,1976,666
"236","John Drew","21","ATL","0.0","3.0","925","0.003","77","30.5","21.6","8.6","1.9","1.8","0.4",".502","",".744","10.6",".216",0,1976,589
"237","Steve Mix","28","PHI","0.0","3.0","925","0.003","81","37.5","13.9","8.2","2.7","2.0","0.4",".499","",".818","9.4",".148",0,1976,365
"238","Jo Jo White","29","BOS","0.0","3.0","925","0.003","82","39.7","18.9","3.8","5.4","1.3","0.2",".449","",".838","7.4",".109",0,1976,876
"239","Bob Dandridge","28","MIL","0.0","1.0","925","0.001","73","37.5","21.5","7.4","2.8","1.5","0.5",".502","",".824","9.0",".158",0,1976,516
"240","John Havlicek","35","BOS","0.0","1.0","925","0.001","76","34.2","17.0","4.1","3.7","1.3","0.4",".450","",".844","7.4",".137",0,1976,622
"241","Truck Robinson","24","WSB","0.0","1.0","925","0.001","82","25.1","11.2","6.8","1.4","0.5","1.3",".454","",".672","4.3",".099",0,1976,903
"242","Randy Smith","27","BUF","0.0","1.0","925","0.001","82","38.6","21.8","5.1","5.9","1.9","0.0",".494","",".817","9.4",".143",0,1976,105
"243","Norm Van Lier","28","CHI","0.0","1.0","925","0.001","76","39.8","12.6","5.4","6.6","2.0","0.3",".366","",".737","3.2",".051",0,1976,413
"244","Bill Walton","23","POR","0.0","1.0","925","0.001","51","33.1","16.1","13.4","4.3","1.0","1.6",".471","",".583","3.8",".109",0,1976,250
"245","Paul Westphal","25","PHO","0.0","1.0","925","0.001","82","36.1","20.5","3.2","5.4","2.6","0.5",".494","",".830","9.6",".155",0,1976,236
"246","Kareem Abdul-Jabbar","29","LAL","159.0","159.0","247","0.644","82","36.8","26.2","13.3","3.9","1.2","3.2",".579","",".701","17.8",".283",1,1977,306
"247","Bill Walton","24","POR","29.0","29.0","247","0.117","65","34.8","18.6","14.4","3.8","1.0","3.2",".528","",".697","10.2",".215",0,1977,904
"248","Pete Maravich","29","NOJ","15.0","15.0","247","0.061","73","41.7","31.1","5.1","5.4","1.2","0.3",".433","",".835","6.4",".101",0,1977,867
"249","Bob Lanier","28","DET","11.0","11.0","247","0.045","64","38.2","25.3","11.6","3.3","1.1","2.0",".534","",".818","10.3",".203",0,1977,776
"250","Julius Erving","26","PHI","7.0","7.0","247","0.028","82","35.9","21.6","8.5","3.7","1.9","1.4",".499","",".777","11.5",".188",0,1977,823
"251","Moses Malone","21","TOT","6.0","6.0","247","0.024","82","30.6","13.2","13.1","1.1","0.8","2.2",".480","",".693","8.7",".167",0,1977,842
"252","Elvin Hayes","31","WSB","5.0","5.0","247","0.020","82","41.0","23.7","12.5","1.9","1.1","2.7",".501","",".687","12.1",".173",0,1977,773
"253","David Thompson","22","DEN","5.0","5.0","247","0.020","82","36.6","25.9","4.1","4.1","1.4","0.6",".507","",".766","10.7",".172",0,1977,180
"254","Maurice Lucas","24","POR","4.0","4.0","247","0.016","79","36.2","20.2","11.4","2.9","1.1","0.7",".466","",".765","8.7",".147",0,1977,170
"255","Artis Gilmore","27","CHI","2.0","2.0","247","0.008","82","35.1","18.6","13.0","2.4","0.5","2.5",".522","",".660","12.2",".203",0,1977,56
"256","George Gervin","24","SAS","1.0","1.0","247","0.004","82","33.0","23.1","5.5","2.9","1.3","1.3",".544","",".833","10.5",".187",0,1977,517
"257","George McGinnis","26","PHI","1.0","1.0","247","0.004","79","35.1","21.4","11.5","3.8","2.1","0.5",".458","",".681","8.6",".149",0,1977,478
"258","Norm Van Lier","29","CHI","1.0","1.0","247","0.004","82","37.8","10.2","4.5","7.8","1.6","0.2",".412","",".778","5.5",".085",0,1977,599
"259","Jo Jo White","30","BOS","1.0","1.0","247","0.004","82","40.6","19.6","4.7","6.0","1.4","0.3",".429","",".869","6.5",".094",0,1977,5
"260","Bill Walton","25","POR","96.0","96.0","238","0.403","58","33.3","18.9","13.2","5.0","1.0","2.5",".522","",".720","8.4",".209",1,1978,10
"261","George Gervin","25","SAS","80.5","80.5","238","0.338","82","34.8","27.2","5.1","3.7","1.7","1.3",".536","",".830","12.0",".201",0,1978,312
"262","David Thompson","23","DEN","28.5","28.5","238","0.120","80","37.8","27.2","4.9","4.5","1.2","1.2",".521","",".778","12.7",".202",0,1978,645
"263","Kareem Abdul-Jabbar","30","LAL","14.0","14.0","238","0.059","62","36.5","25.8","12.9","4.3","1.7","3.0",".550","",".783","12.1",".257",0,1978,378
"264","Walter Davis","23","PHO","4.0","4.0","238","0.017","81","32.0","24.2","6.0","3.4","1.4","0.2",".526","",".830","10.1",".187",0,1978,407
"265","Maurice Lucas","25","POR","3.0","3.0","238","0.013","68","31.2","16.4","9.1","2.5","0.9","0.8",".458","",".767","5.8",".131",0,1978,209
"266","Paul Westphal","27","PHO","3.0","3.0","238","0.013","80","31.0","25.2","2.1","5.5","1.7","0.4",".516","",".813","9.8",".190",0,1978,860
"267","Artis Gilmore","28","CHI","2.0","2.0","238","0.008","82","37.4","22.9","13.1","3.2","0.5","2.2",".559","",".704","11.5",".180",0,1978,347
"268","Truck Robinson","26","NOJ","2.0","2.0","238","0.008","82","44.4","22.7","15.7","2.1","0.9","1.0",".444","",".640","6.5",".086",0,1978,705
"269","Julius Erving","27","PHI","1.0","1.0","238","0.004","74","32.8","20.6","6.5","3.8","1.8","1.3",".502","",".845","9.1",".179",0,1978,473
"270","Marques Johnson","21","MIL","1.0","1.0","238","0.004","80","34.6","19.5","10.6","2.4","1.2","1.3",".522","",".736","10.6",".185",0,1978,603
"271","Bob Lanier","29","DET","1.0","1.0","238","0.004","63","36.7","24.5","11.3","3.4","1.3","1.5",".537","",".772","10.1",".209",0,1978,397
"272","Bob McAdoo","26","NYK","1.0","1.0","238","0.004","79","40.3","26.5","12.8","3.8","1.3","1.6",".520","",".727","10.9",".165",0,1978,318
"273","Marvin Webster","25","SEA","1.0","1.0","238","0.004","82","35.5","14.0","12.6","2.5","0.6","2.0",".502","",".629","8.7",".143",0,1978,674
"274","Moses Malone","23","HOU","112.0","112.0","223","0.502","82","41.3","24.8","17.6","1.8","1.0","1.5",".540","",".739","14.1",".200",1,1979,298
"275","George Gervin","26","SAS","35.0","35.0","223","0.157","80","36.1","29.6","5.0","2.7","1.7","1.1",".541","",".826","11.4",".189",0,1979,384
"276","Elvin Hayes","33","WSB","28.0","28.0","223","0.126","82","37.9","21.8","12.1","1.7","0.9","2.3",".487","",".654","9.4",".146",0,1979,98
"277","Kareem Abdul-Jabbar","31","LAL","15.0","15.0","223","0.067","80","39.5","23.8","12.8","5.4","1.0","4.0",".577","",".736","14.4",".219",0,1979,189
"278","Bob Dandridge","31","WSB","7.0","7.0","223","0.031","78","33.7","20.4","5.7","4.7","0.9","0.7",".499","",".825","8.7",".158",0,1979,481
"279","World B. Free","25","SDC","5.0","5.0","223","0.022","78","37.9","28.8","3.9","4.4","1.4","0.4",".481","",".756","10.1",".164",0,1979,30
"280","Jack Sikma","23","SEA","4.0","4.0","223","0.018","82","36.1","15.6","12.4","3.2","1.0","0.8",".460","",".814","8.8",".143",0,1979,652
"281","Phil Ford","22","KCK","3.0","3.0","223","0.013","79","34.5","15.9","2.3","8.6","2.2","0.1",".465","",".813","5.7",".101",0,1979,313
"282","David Thompson","24","DEN","3.0","3.0","223","0.013","76","35.1","24.0","3.6","3.0","0.9","1.1",".512","",".753","9.5",".171",0,1979,225
"283","Walter Davis","24","PHO","2.0","2.0","223","0.009","79","30.8","23.6","4.7","4.3","1.9","0.3",".561","",".831","9.4",".184",0,1979,136
"284","Kareem Abdul-Jabbar","32","LAL","147.0","147.0","221","0.665","82","38.3","24.8","10.8","4.5","1.0","3.4",".604",".000",".765","14.8",".227",1,1980,335
"285","Julius Erving","29","PHI","31.5","31.5","221","0.143","78","36.1","26.9","7.4","4.6","2.2","1.8",".519",".200",".787","12.5",".213",0,1980,417
"286","George Gervin","27","SAS","19.0","19.0","221","0.086","78","37.6","33.1","5.2","2.6","1.4","1.0",".528",".314",".852","10.6",".173",0,1980,169
"287","Larry Bird","23","BOS","15.0","15.0","221","0.068","82","36.0","21.3","10.4","4.5","1.7","0.6",".474",".406",".836","11.2",".182",0,1980,401
"288","Tiny Archibald","31","BOS","2.0","2.0","221","0.009","80","35.8","14.1","2.5","8.4","1.3","0.1",".482",".222",".830","8.9",".148",0,1980,514
"289","Dennis Johnson","25","SEA","2.0","2.0","221","0.009","81","36.3","19.0","5.1","4.1","1.8","1.0",".422",".207",".780","7.4",".120",0,1980,230
"290","Dan Roundfield","26","ATL","2.0","2.0","221","0.009","81","32.0","16.5","10.3","2.3","1.2","1.7",".499",".000",".710","9.1",".169",0,1980,165
"291","Gus Williams","26","SEA","1.5","1.5","221","0.007","82","36.2","22.1","3.4","4.8","2.4","0.5",".482",".194",".788","11.6",".187",0,1980,185
"292","Moses Malone","24","HOU","1.0","1.0","221","0.005","82","38.3","25.8","14.5","1.8","1.0","1.3",".502",".000",".719","11.9",".183",0,1980,583
"293","Julius Erving","30","PHI","28.0","454.0","690","0.658","82","35.0","24.6","8.0","4.4","2.1","1.8",".521",".222",".787","13.8",".231",1,1981,764
"294","Larry Bird","24","BOS","20.0","423.0","690","0.613","82","39.5","21.2","10.9","5.5","2.0","0.8",".478",".270",".863","10.8",".160",0,1981,757
"295","Kareem Abdul-Jabbar","33","LAL","8.0","286.0","690","0.414","80","37.2","26.2","10.3","3.4","0.7","2.9",".574",".000",".766","14.3",".230",0,1981,550
"296","Moses Malone","25","HOU","8.0","180.0","690","0.261","80","40.6","27.8","14.8","1.8","1.0","1.9",".522",".333",".757","13.7",".202",0,1981,716
"297","George Gervin","28","SAS","1.0","83.0","690","0.120","82","33.7","27.1","5.1","3.2","1.1","0.7",".492",".257",".826","10.5",".182",0,1981,615
"298","Marques Johnson","24","MIL","1.0","73.0","690","0.106","76","33.4","20.3","6.8","4.6","1.5","0.5",".552",".000",".706","11.2",".211",0,1981,258
"299","Robert Parish","27","BOS","0.0","53.0","690","0.077","82","28.0","18.9","9.5","1.8","1.0","2.6",".545",".000",".710","10.9",".228",0,1981,103
"300","Dennis Johnson","26","PHO","0.0","50.0","690","0.072","79","33.1","18.8","4.6","3.7","1.7","0.8",".436",".216",".820","8.4",".154",0,1981,859
"301","Tiny Archibald","32","BOS","0.0","32.0","690","0.046","80","35.3","13.8","2.2","7.7","0.9","0.2",".499",".000",".816","6.9",".118",0,1981,883
"302","Jamaal Wilkes","27","LAL","0.0","19.0","690","0.028","81","37.4","22.6","5.4","2.9","1.5","0.4",".526",".077",".758","8.5",".135",0,1981,72
"303","Magic Johnson","21","LAL","0.0","18.0","690","0.026","37","37.1","21.6","8.6","8.6","3.4","0.7",".532",".176",".760","6.4",".225",0,1981,838
"304","Adrian Dantley","24","UTA","1.0","15.0","690","0.022","80","42.7","30.7","6.4","4.0","1.4","0.2",".559",".286",".806","13.6",".191",0,1981,675
"305","Phil Ford","24","KCK","1.0","15.0","690","0.022","66","34.7","17.5","1.9","8.8","1.5","0.1",".478",".306",".831","5.2",".110",0,1981,29
"306","Bernard King","24","GSW","0.0","12.0","690","0.017","81","36.0","21.9","6.8","3.5","0.9","0.4",".588",".333",".703","9.1",".150",0,1981,48
"307","Kelvin Ransey","22","POR","1.0","11.0","690","0.016","80","30.4","15.2","2.4","6.9","1.1","0.1",".452",".097",".749","2.8",".056",0,1981,374
"308","Jack Sikma","25","SEA","0.0","11.0","690","0.016","82","35.6","18.7","10.4","3.0","1.0","1.1",".454",".000",".823","8.0",".132",0,1981,252
"309","Otis Birdsong","25","KCK","0.0","7.0","690","0.010","71","36.5","24.6","3.6","3.3","1.3","0.3",".544",".286",".697","8.2",".152",0,1981,704
"310","Micheal Ray Richardson","25","NYK","0.0","7.0","690","0.010","79","40.2","16.4","6.9","7.9","2.9","0.4",".469",".225",".663","6.9",".104",0,1981,379
"311","Truck Robinson","29","PHO","0.0","6.0","690","0.009","82","37.7","18.8","9.6","2.5","0.8","0.5",".505","",".629","7.6",".119",0,1981,186
"312","Reggie Theus","23","CHI","0.0","6.0","690","0.009","82","34.4","18.9","3.5","5.2","1.5","0.2",".495",".200",".809","9.2",".156",0,1981,178
"313","Norm Nixon","25","LAL","0.0","5.0","690","0.007","79","37.5","17.1","2.9","8.8","1.8","0.1",".476",".167",".778","5.5",".089",0,1981,581
"314","Artis Gilmore","31","CHI","0.0","4.0","690","0.006","82","34.5","17.9","10.1","2.1","0.6","2.4",".670","",".705","12.3",".208",0,1981,429
"315","Bob Lanier","32","MIL","0.0","4.0","690","0.006","67","26.2","14.3","6.2","2.7","1.1","1.2",".525","1.000",".751","6.8",".185",0,1981,537
"316","Michael Cooper","24","LAL","0.0","3.0","690","0.004","81","32.4","9.4","4.1","4.1","1.6","1.0",".491",".211",".785","5.0",".092",0,1981,290
"317","Walter Davis","26","PHO","0.0","3.0","690","0.004","78","28.0","18.0","2.6","3.9","1.2","0.2",".539",".412",".836","7.1",".157",0,1981,685
"318","George Johnson","32","SAS","0.0","3.0","690","0.004","82","23.6","5.0","7.3","1.1","0.6","3.4",".473","",".734","4.5",".112",0,1981,448
"319","Bobby Jones","29","PHI","0.0","3.0","690","0.004","81","25.3","13.5","5.4","2.8","1.2","0.9",".539",".000",".813","9.2",".217",0,1981,802
"320","Mike Mitchell","25","CLE","0.0","3.0","690","0.004","82","39.0","24.5","6.1","1.7","0.8","0.6",".476",".444",".784","6.0",".091",0,1981,159
"321","James Silas","31","SAS","0.0","3.0","690","0.004","75","27.4","17.7","3.1","3.8","0.7","0.2",".477",".000",".850","7.0",".164",0,1981,240
"322","Quinn Buckner","26","MIL","0.0","1.0","690","0.001","82","29.1","13.3","3.6","4.7","2.4","0.0",".493",".167",".734","5.4",".108",0,1981,701
"323","Caldwell Jones","30","PHI","0.0","1.0","690","0.001","81","32.6","7.2","10.0","1.5","0.7","1.7",".449","",".767","5.5",".100",0,1981,682
"324","Moses Malone","26","HOU","40.0","507.0","690","0.735","81","42.0","31.1","14.7","1.8","0.9","1.5",".519",".000",".762","15.4",".218",1,1982,114
"325","Larry Bird","25","BOS","20.0","406.0","690","0.588","77","38.0","22.9","10.9","5.8","1.9","0.9",".503",".212",".863","12.5",".205",0,1982,451
"326","Julius Erving","31","PHI","1.0","203.0","690","0.294","81","34.4","24.4","6.9","3.9","2.0","1.7",".546",".273",".763","13.3",".229",0,1982,6
"327","Robert Parish","28","BOS","4.0","131.0","690","0.190","80","31.7","19.9","10.8","1.8","0.9","2.4",".542","",".710","10.0",".190",0,1982,804
"328","Gus Williams","28","SEA","2.0","115.0","690","0.167","80","36.0","23.4","3.1","6.9","2.2","0.5",".486",".225",".734","10.2",".171",0,1982,453
"329","George Gervin","29","SAS","1.0","110.0","690","0.159","79","35.7","32.3","5.0","2.4","1.0","0.6",".500",".278",".864","10.7",".182",0,1982,27
"330","Sidney Moncrief","24","MIL","1.0","101.0","690","0.146","80","37.3","19.8","6.7","4.8","1.7","0.3",".523",".071",".817","13.4",".216",0,1982,608
"331","Magic Johnson","22","LAL","0.0","67.0","690","0.097","78","38.3","18.6","9.6","9.5","2.7","0.4",".537",".207",".760","12.9",".207",0,1982,872
"332","Jack Sikma","26","SEA","0.0","33.0","690","0.048","82","37.2","19.6","12.7","3.4","1.2","1.3",".479",".154",".855","12.6",".199",0,1982,727
"333","Kareem Abdul-Jabbar","34","LAL","0.0","31.0","690","0.045","76","35.2","23.9","8.7","3.0","0.8","2.7",".579",".000",".706","10.7",".192",0,1982,766
"334","Dan Roundfield","28","ATL","0.0","14.0","690","0.020","61","36.3","18.6","11.8","2.7","1.0","1.5",".466",".200",".760","6.5",".141",0,1982,3
"335","Kelly Tripucka","22","DET","0.0","14.0","690","0.020","82","37.5","21.6","5.4","3.3","1.1","0.2",".496",".227",".797","7.5",".117",0,1982,203
"336","Alex English","28","DEN","0.0","12.0","690","0.017","82","36.8","25.4","6.8","5.3","1.1","1.5",".551",".000",".840","9.5",".152",0,1982,539
"337","Bernard King","25","GSW","0.0","10.0","690","0.014","79","36.2","23.2","5.9","3.6","1.0","0.3",".566",".200",".705","8.7",".147",0,1982,294
"338","Adrian Dantley","25","UTA","0.0","7.0","690","0.010","81","39.8","30.3","6.3","4.0","1.2","0.2",".570",".333",".792","12.6",".187",0,1982,894
"339","Ray Williams","27","NJN","0.0","6.0","690","0.009","82","33.3","20.4","4.0","6.0","2.4","0.5",".462",".167",".832","7.9",".139",0,1982,576
"340","Michael Cooper","25","LAL","0.0","3.0","690","0.004","76","28.9","11.9","3.5","3.0","1.6","0.8",".517",".118",".813","5.0",".109",0,1982,368
"341","Dan Issel","33","DEN","0.0","3.0","690","0.004","81","30.5","22.9","7.5","2.2","0.8","0.7",".527",".667",".834","9.8",".190",0,1982,455
"342","Marques Johnson","25","MIL","0.0","3.0","690","0.004","60","31.7","16.5","6.1","3.6","1.0","0.6",".532",".000",".700","6.2",".158",0,1982,376
"343","Isiah Thomas","20","DET","0.0","3.0","690","0.004","72","33.8","17.0","2.9","7.8","2.1","0.2",".424",".288",".704","2.3",".046",0,1982,497
"344","Dennis Johnson","27","PHO","0.0","1.0","690","0.001","80","36.7","19.5","5.1","4.6","1.3","0.7",".470",".190",".806","8.1",".132",0,1982,586
"345","Mychal Thompson","27","POR","0.0","1.0","690","0.001","79","39.6","20.8","11.7","4.0","0.9","1.4",".523","",".628","8.2",".125",0,1982,788
"346","Jay Vincent","22","DAL","0.0","1.0","690","0.001","81","32.4","21.4","7.0","2.2","1.1","0.3",".497",".250",".716","5.6",".102",0,1982,450
"347","Jamaal Wilkes","28","LAL","0.0","1.0","690","0.001","82","35.4","21.1","4.8","1.7","1.1","0.3",".525",".000",".732","7.7",".127",0,1982,588
"348","Buck Williams","21","NJN","0.0","1.0","690","0.001","82","34.5","15.5","12.3","1.3","1.0","1.0",".582",".000",".624","8.9",".152",0,1982,602
"349","Moses Malone","27","PHI","69.0","720.0","750","0.960","78","37.5","24.5","15.3","1.3","1.1","2.0",".501",".000",".761","15.1",".248",1,1983,560
"350","Larry Bird","26","BOS","1.0","364.0","750","0.485","79","37.7","23.6","11.0","5.8","1.9","0.9",".504",".286",".840","14.0",".225",0,1983,112
"351","Magic Johnson","23","LAL","2.0","304.5","750","0.406","79","36.8","16.8","8.6","10.5","2.2","0.6",".548",".000",".800","12.5",".207",0,1983,140
"352","Sidney Moncrief","25","MIL","0.0","226.0","750","0.301","76","35.7","22.5","5.8","3.9","1.5","0.3",".524",".100",".826","13.2",".233",0,1983,877
"353","Julius Erving","32","PHI","3.0","112.0","750","0.149","72","33.6","21.4","6.8","3.7","1.6","1.8",".517",".286",".759","10.9",".217",0,1983,239
"354","Alex English","29","DEN","0.0","42.0","750","0.056","82","36.4","28.4","7.3","4.8","1.4","1.5",".516",".167",".829","10.3",".166",0,1983,77
"355","Buck Williams","22","NJN","0.0","40.0","750","0.053","82","36.1","17.0","12.5","1.5","1.1","1.3",".588",".000",".620","11.4",".185",0,1983,375
"356","Artis Gilmore","33","SAS","0.0","33.0","750","0.044","82","34.1","18.0","12.0","1.5","0.5","2.3",".626",".000",".740","11.0",".189",0,1983,584
"357","George Gervin","30","SAS","0.0","30.0","750","0.040","78","36.3","26.2","4.6","3.4","1.1","0.9",".487",".364",".853","9.4",".159",0,1983,179
"358","Kareem Abdul-Jabbar","35","LAL","0.0","15.0","750","0.020","79","32.3","21.8","7.5","2.5","0.8","2.2",".588",".000",".749","10.9",".205",0,1983,345
"359","Jack Sikma","27","SEA","0.0","13.0","750","0.017","75","34.2","18.2","11.4","3.1","1.2","0.9",".464",".000",".837","9.8",".183",0,1983,735
"360","Jeff Ruland","24","WSB","0.0","12.0","750","0.016","79","36.2","19.4","11.0","3.0","0.9","1.0",".552",".333",".689","10.1",".169",0,1983,811
"361","Terry Cummings","21","SDC","0.0","10.0","750","0.013","70","36.2","23.7","10.6","2.5","1.8","0.9",".523",".000",".709","8.7",".164",0,1983,302
"362","Maurice Lucas","30","PHO","0.0","9.0","750","0.012","77","33.6","16.5","10.4","2.8","0.7","0.6",".474",".333",".781","7.1",".132",0,1983,600
"363","Alton Lister","24","MIL","0.0","5.0","750","0.007","80","23.6","8.4","7.1","1.4","0.6","2.2",".529","",".537","3.8",".096",0,1983,494
"364","Bernard King","26","NYK","0.0","4.0","750","0.005","68","32.5","21.9","4.8","2.9","1.3","0.2",".528",".000",".722","7.5",".163",0,1983,234
"365","Isiah Thomas","21","DET","0.0","4.0","750","0.005","81","38.2","22.9","4.0","7.8","2.5","0.4",".472",".288",".710","7.4",".115",0,1983,836
"366","Larry Drew","24","KCK","0.0","3.0","750","0.004","75","35.9","20.1","2.8","8.1","1.7","0.1",".492",".125",".820","7.2",".128",0,1983,770
"367","Gus Williams","29","SEA","0.0","3.0","750","0.004","80","34.5","20.0","2.6","8.0","2.3","0.3",".477",".047",".751","8.5",".148",0,1983,817
